Date,Resource_ID,Department,Service_Type,Region,Daily_Cost_USD,Avg_CPU_Utilization_Pct
2025-05-25,res-1001,Testing,Networking,us-east-1,46.45,0.0
2025-05-25,res-1002,Testing,Database (RDS/SQL),ap-south-1,242.82,13.7
2025-05-25,res-1003,Production,Compute (EC2/VMs),eu-west-1,66.6,14.27
2025-05-25,res-1004,Development,Database (RDS/SQL),eu-west-1,265.78,41.16
2025-05-25,res-1005,Testing,Database (RDS/SQL),ap-south-1,296.65,1.98
2025-05-25,res-1006,Production,Networking,ap-south-1,46.48,0.0
2025-05-25,res-1007,Data Science,Database (RDS/SQL),us-west-2,209.39,54.36
2025-05-25,res-1008,Production,Storage (S3/Blob),ap-south-1,21.53,0.0
2025-05-25,res-1009,Data Science,Storage (S3/Blob),us-west-2,9.19,0.0
2025-05-25,res-1010,Development,Networking,ap-south-1,45.66,0.0
2025-05-25,res-1011,Production,Compute (EC2/VMs),ap-south-1,118.9,49.9
2025-05-25,res-1012,Development,Storage (S3/Blob),us-east-1,324.07,2.57
2025-05-25,res-1013,Data Science,Compute (EC2/VMs),us-east-1,75.58,7.03
2025-05-25,res-1014,Testing,Database (RDS/SQL),eu-west-1,76.97,11.57
2025-05-25,res-1015,Development,Networking,ap-south-1,41.82,0.0
2025-05-25,res-1016,Data Science,Networking,eu-west-1,25.72,0.0
2025-05-25,res-1017,Development,Storage (S3/Blob),eu-west-1,22.8,0.0
2025-05-25,res-1018,Development,Database (RDS/SQL),ap-south-1,276.89,22.46
2025-05-25,res-1019,Testing,Networking,ap-south-1,30.52,0.0
2025-05-25,res-1020,Production,Database (RDS/SQL),us-east-1,238.89,21.44
2025-05-25,res-1021,Testing,Database (RDS/SQL),us-east-1,69.24,24.49
2025-05-25,res-1022,Production,Database (RDS/SQL),us-west-2,90.31,56.48
2025-05-25,res-1023,Data Science,Compute (EC2/VMs),ap-south-1,125.06,55.67
2025-05-25,res-1024,Development,Storage (S3/Blob),us-west-2,35.5,0.0
2025-05-25,res-1025,Production,Storage (S3/Blob),us-east-1,33.13,0.0
2025-05-25,res-1026,Development,Networking,ap-south-1,19.33,0.0
2025-05-25,res-1027,Testing,Networking,eu-west-1,54.63,0.0
2025-05-25,res-1028,Data Science,Compute (EC2/VMs),ap-south-1,90.11,69.6
2025-05-25,res-1029,Testing,Database (RDS/SQL),us-west-2,274.02,25.9
2025-05-25,res-1030,Production,Networking,us-west-2,15.5,0.0
2025-05-25,res-1031,Data Science,Networking,us-west-2,21.4,0.0
2025-05-25,res-1032,Development,Storage (S3/Blob),us-west-2,19.95,0.0
2025-05-25,res-1033,Development,Networking,us-west-2,50.9,0.0
2025-05-25,res-1034,Production,Database (RDS/SQL),us-west-2,265.18,10.35
2025-05-25,res-1035,Development,Networking,us-west-2,35.54,0.0
2025-05-25,res-1036,Development,Storage (S3/Blob),ap-south-1,19.61,0.0
2025-05-25,res-1037,Development,Database (RDS/SQL),ap-south-1,105.53,15.99
2025-05-25,res-1038,Testing,Networking,us-west-2,26.88,0.0
2025-05-25,res-1039,Testing,Networking,us-east-1,57.15,0.0
2025-05-25,res-1040,Development,Networking,us-east-1,26.16,0.0
2025-05-25,res-1041,Data Science,Compute (EC2/VMs),us-west-2,87.44,61.24
2025-05-25,res-1042,Testing,Compute (EC2/VMs),ap-south-1,67.27,82.74
2025-05-25,res-1043,Development,Compute (EC2/VMs),ap-south-1,145.12,25.14
2025-05-25,res-1044,Data Science,Networking,us-east-1,34.86,0.0
