log_date,service_name,department,daily_cost,usage_hours
2024-05-25,AWS Cloud Infrastructure,Engineering,133.08,23
2024-05-26,AWS Cloud Infrastructure,Engineering,146.67,21
2024-05-27,AWS Cloud Infrastructure,Engineering,193.15,18
2024-05-28,AWS Cloud Infrastructure,Engineering,158.28,21
2024-05-29,AWS Cloud Infrastructure,Engineering,200.78,24
2024-05-30,AWS Cloud Infrastructure,Engineering,189.55,22
2024-05-31,AWS Cloud Infrastructure,Engineering,176.45,24
2024-06-01,AWS Cloud Infrastructure,Engineering,145.96,19
2024-06-02,AWS Cloud Infrastructure,Engineering,134.5,22
2024-06-03,AWS Cloud Infrastructure,Engineering,162.29,22
2024-06-04,AWS Cloud Infrastructure,Engineering,187.2,22
2024-06-05,AWS Cloud Infrastructure,Engineering,198.44,21
2024-06-06,AWS Cloud Infrastructure,Engineering,173.12,20
2024-06-07,AWS Cloud Infrastructure,Engineering,175.79,21
2024-06-08,AWS Cloud Infrastructure,Engineering,145.84,23
2024-06-09,AWS Cloud Infrastructure,Engineering,163.37,24
2024-06-10,AWS Cloud Infrastructure,Engineering,173.39,20
2024-06-11,AWS Cloud Infrastructure,Engineering,169.98,24
2024-06-12,AWS Cloud Infrastructure,Engineering,171.97,19
2024-06-13,AWS Cloud Infrastructure,Engineering,178.06,18
2024-06-14,AWS Cloud Infrastructure,Engineering,171.1,20
2024-06-15,AWS Cloud Infrastructure,Engineering,165.48,21
2024-06-16,AWS Cloud Infrastructure,Engineering,169.6,24
2024-06-17,AWS Cloud Infrastructure,Engineering,184.62,19
2024-06-18,AWS Cloud Infrastructure,Engineering,171.84,24
2024-06-19,AWS Cloud Infrastructure,Engineering,182.18,20
2024-06-20,AWS Cloud Infrastructure,Engineering,182.2,24
2024-06-21,AWS Cloud Infrastructure,Engineering,190.78,21
2024-06-22,AWS Cloud Infrastructure,Engineering,162.88,19
2024-06-23,AWS Cloud Infrastructure,Engineering,149.64,18
2024-06-24,AWS Cloud Infrastructure,Engineering,185.02,20
2024-06-25,AWS Cloud Infrastructure,Engineering,202.08,19
2024-06-26,AWS Cloud Infrastructure,Engineering,171.33,23
2024-06-27,AWS Cloud Infrastructure,Engineering,185.07,24
2024-06-28,AWS Cloud Infrastructure,Engineering,199.9,22
2024-06-29,AWS Cloud Infrastructure,Engineering,161.86,19
2024-06-30,AWS Cloud Infrastructure,Engineering,151.87,20
2024-07-01,AWS Cloud Infrastructure,Engineering,166.48,24
2024-07-02,AWS Cloud Infrastructure,Engineering,200.72,22
2024-07-03,AWS Cloud Infrastructure,Engineering,186.13,18
2024-07-04,AWS Cloud Infrastructure,Engineering,171.1,18
2024-07-05,AWS Cloud Infrastructure,Engineering,165.24,23
2024-07-06,AWS Cloud Infrastructure,Engineering,165.99,23
2024-07-07,AWS Cloud Infrastructure,Engineering,160.24,19
2024-07-08,AWS Cloud Infrastructure,Engineering,180.92,18
2024-07-09,AWS Cloud Infrastructure,Engineering,180.72,22
2024-07-10,AWS Cloud Infrastructure,Engineering,179.54,20
2024-07-11,AWS Cloud Infrastructure,Engineering,192.25,22
2024-07-12,AWS Cloud Infrastructure,Engineering,181.07,21
2024-07-13,AWS Cloud Infrastructure,Engineering,145.04,19
2024-07-14,AWS Cloud Infrastructure,Engineering,152.67,19
2024-07-15,AWS Cloud Infrastructure,Engineering,176.1,22
2024-07-16,AWS Cloud Infrastructure,Engineering,205.01,22
2024-07-17,AWS Cloud Infrastructure,Engineering,189.43,18
2024-07-18,AWS Cloud Infrastructure,Engineering,199.73,18
